Query	data
 What are some social enterprises that have banded together to form the Sunshine Coast food service response?	{"Subject1":"Sunshine Coast food service response","What-Was-Said-About-the-Subject":"some social enterprises that have banded together to form"}
 What are some social enterprises that have banded together to form the Sunshine Coast food service response?	{"Subject1":"Sunshine Coast food service response","What-Was-Said-About-the-Subject":"social enterprises that have banded together to form"}
 How many of the 15 teachers tested positive for COVID-19?	{"Subject1":"COVID-19","What-Was-Said-About-the-Subject":"teachers tested positive"}
 How many of the 15 teachers tested positive for COVID-19?	{"Subject1":"teachers","What-Was-Said-About-the-Subject":"tested positive for COVID-19"}
 Why does battery type and size matter?	{"Subject1":"battery type and size","What-Was-Said-About-the-Subject":"matter"}
 Why does battery type and size matter?	{"Subject1":"battery type","Subject2":"size"}
 What is the average time it takes for a person to speak?	{"Subject1":"person to speak","What-Was-Said-About-the-Subject":"average time it takes"}
 What is the average time it takes for a person to speak?	{"Subject1":"person to speak","What-Was-Said-About-the-Subject":"average time"}
 What are the Minister's thoughts on when schools will reopen?	{"Subject1":"when schools will reopen","What-Was-Said-About-the-Subject":"Minister's thoughts"}
 What are the Minister's thoughts on when schools will reopen?	{"Person":"Minister","Subject1":"schools","What-Was-Said-About-the-Subject":"reopen"}
 Would the tape drive be an effective way to store data?	{"Subject1":"data","What-Was-Said-About-the-Subject":"tape drive be an effective way to store"}
 Would the tape drive be an effective way to store data?	{"Subject1":"tape drive","What-Was-Said-About-the-Subject":"effective way to store data"}
 What does the Acting Chair of the committee want to thank volunteers for?	{"Subject1":"volunteers","What-Was-Said-About-the-Subject":"Acting Chair of the committee want to thank","Person":"Acting Chair"}
 What does the Acting Chair of the committee want to thank volunteers for?	{"Subject1":"Acting Chair of the committee","What-Was-Said-About-the-Subject":"thank volunteers for"}
 Is Guenter Hirsch still a professor?	{"Subject1":"Guenter Hirsch","What-Was-Said-About-the-Subject":"professor","Person":"Guenter Hirsch"}
 Is Guenter Hirsch still a professor?	{"Subject1":"Guenter Hirsch","What-Was-Said-About-the-Subject":"still a professor","Person":"Guenter Hirsch"}
 What does the speaker see as the main barriers to achieving fluency in Welsh?	{"Subject1":"achieving fluency in Welsh","What-Was-Said-About-the-Subject":"speaker see as the main barriers","Person":"speaker"}
 What does the speaker see as the main barriers to achieving fluency in Welsh?	{"Subject1":"Welsh","Person":"speaker","What-Was-Said-About-the-Subject":"main barriers to achieving fluency"}
 What are some of the difficulties of bilingualism in Wales?	{"Subject1":"bilingualism in Wales","What-Was-Said-About-the-Subject":"some of the difficulties"}
 What are some of the difficulties of bilingualism in Wales?	{"Subject1":"Wales","What-Was-Said-About-the-Subject":"difficulties of bilingualism"}
 What are some ideas for how to design the remote control interface?	{"Subject1":"remote control interface","What-Was-Said-About-the-Subject":"some ideas for how to design"}
 What are some ideas for how to design the remote control interface?	{"Subject1":"remote control interface","What-Was-Said-About-the-Subject":"some ideas for how to design"}
 What kind of battery would we want to use in our product?	{"Subject1":"product","What-Was-Said-About-the-Subject":"kind of battery"}
 What kind of battery would we want to use in our product?	{"Subject1":"product","What-Was-Said-About-the-Subject":"kind of battery would we want to use"}
 What are the disadvantages of a speech recognition remote control?	{"Subject1":"remote control","What-Was-Said-About-the-Subject":"disadvantages of a speech recognition"}
 What are the disadvantages of a speech recognition remote control?	{"What-Was-Said-About-the-Subject":"disadvantages","Subject1":"speech recognition remote control"}
 How did Marketing feel about the two different remote controls?	{"Subject1":"two different remote controls","What-Was-Said-About-the-Subject":"Marketing feel","Person":"Marketing"}
 How did Marketing feel about the two different remote controls?	{"Person":"Marketing","Subject1":"two different remote controls","What-Was-Said-About-the-Subject":"Marketing feel"}
 What is the marketing team's opinion on how to market the remote?	{"Subject1":"market the remote","What-Was-Said-About-the-Subject":"marketing team's opinion","Person":"marketing team"}
 What is the marketing team's opinion on how to market the remote?	{"Subject1":"remote","What-Was-Said-About-the-Subject":"marketing team's opinion on how to market","Person":"marketing team"}
 What are the two different types of chips that were discussed?	{"Subject1":"chips","What-Was-Said-About-the-Subject":"two different types"}
 What are the two different types of chips that were discussed?	{"Subject1":"chips","What-Was-Said-About-the-Subject":"two different types"}
 Why does the Industrial Designer think that it is impossible to accommodate all the buttons on the remote control?	{"Subject1":"remote control","What-Was-Said-About-the-Subject":"Industrial Designer think that it is impossible to accommodate all the buttons","Person":"Industrial Designer"}
 Why does the Industrial Designer think that it is impossible to accommodate all the buttons on the remote control?	{"Subject1":"remote control","What-Was-Said-About-the-Subject":"impossible to accommodate all the buttons","Person":"Industrial Designer"}
 What is the difference between the T_V_ in Britain and the T_V_ in the United States?	{"Subject1":"T_V_ in Britain","Subject2":"T_V_ in the United States","What-Was-Said-About-the-Subject":"difference between"}
 What is the difference between the T_V_ in Britain and the T_V_ in the United States?	{"Subject1":"T_V_ in Britain","Subject2":"T_V_ in the United States","What-Was-Said-About-the-Subject":"difference"}
 What type of programmes are available for the childcare sector to develop Welsh language skills?	{"Subject1":"childcare sector to develop Welsh language skills","What-Was-Said-About-the-Subject":"type of programmes are available"}
 What type of programmes are available for the childcare sector to develop Welsh language skills?	{"Subject1":"childcare sector to develop Welsh language skills","What-Was-Said-About-the-Subject":"type of programmes"}
 What did the professor think of the company's employees' productivity?	{"Subject1":"company's employees' productivity","What-Was-Said-About-the-Subject":"professor think","Person":"professor"}
 What did the professor think of the company's employees' productivity?	{"Subject1":"employees' productivity","What-Was-Said-About-the-Subject":"professor think","Person":"professor"}
 What type of difficulties would the user have when using this remote that are discussed?	{"Subject1":"remote","What-Was-Said-About-the-Subject":"type of difficulties would the user have"}
 What type of difficulties would the user have when using this remote that are discussed?	{"Subject1":"remote","What-Was-Said-About-the-Subject":"type of difficulties would the user have when using this remote"}
 What are the different devices that the industrial designer is designing for?	{"Person":"industrial designer","Subject1":"different devices","What-Was-Said-About-the-Subject":"industrial designer is designing for"}
 What are the different devices that the industrial designer is designing for?	{"Subject1":"different devices","What-Was-Said-About-the-Subject":"industrial designer is designing for","Person":"industrial designer"}
 What is the main concern with teaching Welsh to children who come from English-speaking homes?	{"Subject1":"children who come from English-speaking homes","What-Was-Said-About-the-Subject":"main concern with teaching Welsh"}
 What is the main concern with teaching Welsh to children who come from English-speaking homes?	{"Subject1":"children who come from English-speaking homes","What-Was-Said-About-the-Subject":"main concern with teaching Welsh"}
